startdate,enddate,finished,q1,q5_1,q6,q7,q8,q9_1,q10_1,q11_1,q11_2,q12,q13_1,q13_2,q13_3,q13_4,q13_5,q14_1,q14_2,q14_3,q14_4,q16,q22_pagesubmit,q24_pagesubmit,q23_pagesubmit,q25_1,q26_1,q27_1,q28_1,q29_1
2016-06-18 17:40:40,2016-06-18 18:03:08,True,I agree,1994,Male,Single,Latino or Hispanic American,Mexico,1.1,4,0.5,$501-$1000,,9,8,9,8,,,John,Democrats,The Congress,,248.953,,8,8,8,9,3.7
2016-06-18 20:46:23,2016-06-18 20:54:31,True,I agree,1992,Female,Single,Other,United States,4,2.5,0,$501-$1000,4,8,1,9,4.2,,,,Republican,The Supreme Court,,,167.719,8,6.1,9.2,10,7.1
2016-06-18 21:22:48,2016-06-18 21:32:28,True,I agree,1992,Male,Single,Other,USA Government,1,3,0,$501-$1000,2,1.1,1.1,1.2,1.2,Sec of Defense ,Mitch Mconnor,Supreme Justice Roberts,Republican ,The Supreme Court,167.297,,,10,1,1,6,7.2
2016-06-19 00:11:01,2016-06-19 00:27:43,True,I agree,1979,Male,Married,Non-Hispanic White or Euro-American,United States,7,3,0,Prefer not to disclose,5,3,1,8,1,Secretary of Defense,Mitch McConnell,John Roberts,Republican,The Supreme Court,,,168.627,7,4,2.5,5.5,5.4
2016-06-19 00:21:26,2016-06-19 00:32:24,True,I agree,1993,Male,Single,Arab Middle Eastern or Arab American,United Arab Emirates,7.1,2,1,Prefer not to disclose,8.2,8.3,8.4,8.5,8.4,united state secertary,mitch mcconnell,"john G, robert jr",congress,The Supreme Court,182.538,,,7.1,7.1,7.2,7.1,5.9
2016-06-19 00:43:33,2016-06-19 00:56:06,True,I agree,1988,Male,Single,Arab Middle Eastern or Arab American,Kuwait,5.1,2,1,$2001-$2500,10,10,10,10,10,secretary of defense  ,,Merrick Garland,,The Supreme Court,,248.513,,3.1,10,10,5.1,5.4
2016-06-19 06:53:00,2016-06-19 07:04:15,True,I agree,1989,Male,Single,Arab Middle Eastern or Arab American,Qatar,3.4,2,2,$2501-$3000,4.6,4.4,,6.5,5.5,,,,,The Congress,,,172.144,5.7,5.7,4.5,7.1,5.8
2016-06-19 08:52:31,2016-06-19 09:00:48,True,I agree,1994,Female,Single,Non-Hispanic White or Euro-American,United States,10,4,0,$501-$1000,8.1,9.5,,10,6.1,,,,Republican,The Congress,164.598,,,4,7.2,10,5.1,3.5
2016-06-19 10:32:04,2016-06-19 10:38:38,True,I agree,1981,Female,Married,Non-Hispanic White or Euro-American,United States,3,4,0,Prefer not to disclose,5.1,5.1,3.1,4.5,2.1,secretary of defense,Mitch McConnell,John Roberts,Democrats,The Supreme Court,,242.939,,1,8.2,8.7,8,1.8
2016-06-19 11:24:32,2016-06-19 11:49:55,True,I agree,1991,Female,Single,"Black, Afro-Caribbean, or African American",United States,5,3,0,$3001 and more,10,10,,10,10,Secretary of Defense,Mitch McConnell,John Glover Roberts Jr,Republicans,The Supreme Court,,,1229.835,3.4,7,7.1,10,4
2016-06-19 13:11:00,2016-06-19 13:26:01,True,I agree,1992,Male,Single,Arab Middle Eastern or Arab American,Kuwait,10,2,1,Prefer not to disclose,10,10,6.4,10,10,U.S DEPARTMENT OF DEFENCE,REPUBLICANS,ROBERTS,DEMORCRATS,The Supreme Court,,242.179,,6.6,7.3,7.7,5.6,3.8
2016-06-19 13:18:29,2016-06-19 13:28:55,True,I agree,1987,Male,Married,"Black, Afro-Caribbean, or African American",United States,7,4,0,$3001 and more,8.5,9,,8.5,10,,Republican,,Republican,The Supreme Court,169.359,,,4,7,8.5,10,3.2
2016-06-19 13:44:31,2016-06-19 13:59:27,True,I agree,1996,Male,Single,Non-Hispanic White or Euro-American,United States,1,2,0,$501-$1000,10,10,1,10,1,Secretary of Defense,,,,The Supreme Court,,241.413,,1,4,10,6,3
2016-06-19 14:46:31,2016-06-19 14:54:28,True,I agree,1996,Male,Single,East Asian or Asian American,China,2.9,3,0,$0-$500,2.9,4.8,5.8,5.8,4.9,Secretary of defence,Mitch Mcconnell,John G Roberts,Republican,The Supreme Court,162.834,,,7.3,8,6.4,6.8,6
2016-06-19 14:48:47,2016-06-19 14:56:50,True,I agree,1995,Female,Single,East Asian or Asian American,United States,3,3,0,$501-$1000,6,5,,7,6.2,Defense Secretary,Mitch McConnell,Roberts,Republican,The Supreme Court,,,163.315,4,7,8.5,7,3.9
